%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328456.8,45.83305077,-110.9372274,2521.888,1,8,0.0134,0.0107,0.0251,-0.0066,0.0112,-0.0095,-13.2,999.9
2185,328457,45.8330541,-110.937222,2521.4649,1,8,0.0133,0.0105,0.0248,-0.0065,0.011,-0.0094,-13,999.9
2185,328457.2,45.83305734,-110.9372166,2521.0461,1,8,0.0131,0.0104,0.0245,-0.0064,0.0109,-0.0093,-12.8,999.9
2185,328457.4,45.83306043,-110.9372112,2520.6276,1,8,0.013,0.0103,0.0242,-0.0063,0.0107,-0.0092,-12.6,999.9
2185,328457.6,45.83306325,-110.9372058,2520.2221,1,8,0.0128,0.0101,0.0239,-0.0062,0.0106,-0.0091,-12.4,999.9
2185,328457.8,45.83306594,-110.9372002,2519.8067,1,8,0.0127,0.01,0.0236,-0.0062,0.0105,-0.009,-12.2,999.9
2185,328458,45.83306867,-110.9371945,2519.3986,1,8,0.0126,0.0099,0.0233,-0.0061,0.0103,-0.0089,-12,999.9
2185,328458.2,45.83307137,-110.9371886,2518.9968,1,8,0.0124,0.0097,0.023,-0.006,0.0102,-0.0088,-11.8,999.9
2185,328458.4,45.83307414,-110.9371827,2518.5895,1,8,0.0123,0.0096,0.0227,-0.0059,0.01,-0.0087,-11.6,999.9
2185,328458.6,45.83307695,-110.9371769,2518.1844,1,8,0.0121,0.0095,0.0224,-0.0059,0.0099,-0.0086,-11.4,999.9
2185,328458.8,45.83307984,-110.937171,2517.7833,1,8,0.012,0.0094,0.0222,-0.0058,0.0098,-0.0086,-11.2,999.9
2185,328459,45.83308277,-110.9371652,2517.3779,1,8,0.0119,0.0092,0.0219,-0.0057,0.0096,-0.0085,-11,999.9
2185,328459.2,45.83308574,-110.9371592,2516.968,1,8,0.0117,0.0091,0.0216,-0.0056,0.0095,-0.0084,-10.8,999.9
2185,328459.4,45.83308877,-110.9371532,2516.5543,1,8,0.0116,0.009,0.0213,-0.0056,0.0093,-0.0083,-10.6,999.9
2185,328459.6,45.83309172,-110.9371471,2516.1432,1,8,0.0114,0.0089,0.021,-0.0055,0.0092,-0.0082,-10.4,999.9
2185,328459.8,45.83309467,-110.937141,2515.7302,1,8,0.0113,0.0087,0.0207,-0.0054,0.0091,-0.0081,-10.2,999.9
2185,328460,45.83309767,-110.9371351,2515.3215,1,8,0.0112,0.0086,0.0205,-0.0053,0.0089,-0.008,-10,999.9
2185,328460.2,45.83310067,-110.9371293,2514.9082,1,8,0.011,0.0085,0.0202,-0.0053,0.0088,-0.0079,-9.8,999.9
2185,328460.4,45.83310369,-110.9371235,2514.4906,1,8,0.0109,0.0084,0.0199,-0.0052,0.0087,-0.0079,-9.6,999.9
